equipo_id,codigo_inventario,numero_serie,nombre_equipo,clase_funcional,marca,modelo,clase_riesgo,criticidad,fecha_adquisicion,costo_adquisicion,vida_util_anios,modalidad_propiedad,fecha_vencimiento_garantia,bajo_plan_mantenimiento,estrategia_mantenimiento,estado_actual
1,EQ-00001,SN-0001-84689785,Tallímetro,Apoyo a diagnóstico,Gima,GI-751,I,Baja,2022-10-19,239000.0,10,Propio,,True,Contrato,Bueno
2,EQ-00002,SN-0002-83663312,Bomba de infusión,Soporte vital,Fresenius Kabi,FR-513,III,Alta,2024-06-15,1746000.0,13,Propio,,False,Interno,Bueno
3,EQ-00003,SN-0003-40856884,Monitor multiparámetro,Monitoreo,Bionet,BI-971,III,Media,2022-02-04,3571000.0,11,Propio,,False,Contrato,Regular
4,EQ-00004,SN-0004-32999948,Esfigmomanómetro,Apoyo a diagnóstico,A&D Medical,AD-847,II,Baja,2014-05-24,267000.0,8,Comodato,2015-06-30,True,Interno,Regular
5,EQ-00005,SN-0005-17051103,Camilla de transporte,Apoyo a diagnóstico,Hillrom/Baxter,HI-309,I,Alta,2021-07-19,3221000.0,10,Propio,,True,Interno,Bueno
6,EQ-00006,SN-0006-99705531,Bomba de infusión,Soporte vital,Baxter,BA-251,III,Alta,2016-07-06,1634000.0,12,Comodato,2018-11-11,True,Interno,Bueno
7,EQ-00007,SN-0007-27147873,Esfigmomanómetro,Apoyo a diagnóstico,Gima,GI-823,II,Media,2026-03-17,247000.0,7,Comodato,2028-08-01,False,Contrato,Baja
8,EQ-00008,SN-0008-41563073,Oftalmoscopio,Apoyo a diagnóstico,Gima,GI-859,I,Media,2014-12-17,688000.0,11,Propio,2017-02-23,True,Interno,Bueno
9,EQ-00009,SN-0009-66707956,Cuna radiante,Neonatología,Medix,ME-204,II,Alta,2021-06-16,12370000.0,10,Propio,,True,Contrato,Regular
10,EQ-00010,SN-0010-11882562,Otoscopio,Apoyo a diagnóstico,Welch Allyn/Hillrom,WE-408,I,Baja,2021-05-22,468000.0,14,Propio,,True,Interno,Bueno
11,EQ-00011,SN-0011-93925308,Balanza clínica,Apoyo a diagnóstico,Tanita,TA-822,I,Media,2026-04-05,1282000.0,11,Propio,,False,Contrato,Regular
12,EQ-00012,SN-0012-95579844,Incubadora,Neonatología,Dräger,DR-898,III,Alta,2023-04-23,12415000.0,14,Propio,,True,Externo,Regular
13,EQ-00013,SN-0013-10542565,Doppler fetal,Apoyo a diagnóstico,Huntleigh,HU-251,II,Baja,2021-09-16,937000.0,11,Propio,,True,Interno,Bueno
14,EQ-00014,SN-0014-84242863,Desfibrilador,Soporte vital,Stryker/Physio-Control,ST-196,III,Alta,2017-04-06,4911000.0,7,Propio,,True,Externo,Bueno
15,EQ-00015,SN-0015-20017532,Termómetro clínico,Apoyo a diagnóstico,Riester,RI-540,II,Baja,2026-04-29,116000.0,12,Propio,,False,Contrato,Bueno
16,EQ-00016,SN-0016-42816814,Oftalmoscopio,Apoyo a diagnóstico,Riester,RI-440,I,Baja,2017-06-30,794000.0,11,Propio,,True,Contrato,Regular
